date,sku,sales,price,is_holiday
2024-06-16,商品C,82,3500,0
2024-06-23,商品C,86,3500,0
2024-06-30,商品C,86,3500,0
2024-07-07,商品C,90,3500,0
2024-07-14,商品C,89,3500,0
2024-07-21,商品C,99,3500,0
2024-07-28,商品C,98,3500,0
2024-08-04,商品C,95,3500,0
2024-08-11,商品C,115,3500,1
2024-08-18,商品C,123,3500,1
2024-08-25,商品C,128,3500,1
2024-09-01,商品C,120,3500,0
2024-09-08,商品C,127,3500,0
2024-09-15,商品C,120,3500,0
2024-09-22,商品C,118,3500,0
2024-09-29,商品C,116,3500,0
2024-10-06,商品C,129,3500,0
2024-10-13,商品C,128,3500,0
2024-10-20,商品C,133,3500,0
2024-10-27,商品C,135,3500,0
2024-11-03,商品C,140,3500,0
2024-11-10,商品C,148,3500,0
2024-11-17,商品C,147,3500,0
2024-11-24,商品C,149,3500,0
2024-12-01,商品C,148,3500,0
2024-12-08,商品C,148,3500,0
2024-12-15,商品C,155,3500,0
2024-12-22,商品C,174,3500,1
2024-12-29,商品C,184,3500,1
2024-01-07,商品D,167,600,1
2024-01-14,商品D,174,600,1
2024-01-21,商品D,138,600,0
2024-01-28,商品D,128,600,0
2024-02-04,商品D,128,600,0
2024-02-11,商品D,128,600,0
2024-02-18,商品D,160,600,0
2024-02-25,商品D,123,600,0
2024-03-03,商品D,142,600,0
2024-03-10,商品D,120,600,0
2024-03-17,商品D,141,600,0
2024-03-24,商品D,134,600,0
2024-03-31,商品D,128,600,0
2024-04-07,商品D,130,600,0
2024-04-14,商品D,124,600,0
2024-04-21,商品D,138,600,0
2024-04-28,商品D,144,600,1
2024-05-05,商品D,137,600,1
2024-05-12,商品D,139,600,1
2024-05-19,商品D,145,600,0
2024-05-26,商品D,165,600,0
2024-06-02,商品D,152,600,0
2024-06-09,商品D,152,600,0
2024-06-16,商品D,161,600,0
2024-06-23,商品D,178,600,0
2024-06-30,商品D,169,600,0
2024-07-07,商品D,166,600,0
2024-07-14,商品D,188,600,0
2024-07-21,商品D,185,600,0
2024-07-28,商品D,202,600,0
2024-08-04,商品D,190,600,0
2024-08-11,商品D,192,600,1
2024-08-18,商品D,194,600,1
2024-08-25,商品D,234,600,1
2024-09-01,商品D,223,600,0
2024-09-08,商品D,202,600,0
2024-09-15,商品D,202,600,0
2024-09-22,商品D,226,600,0
2024-09-29,商品D,197,600,0
2024-10-06,商品D,200,600,0
2024-10-13,商品D,220,600,0
2024-10-20,商品D,207,600,0
2024-10-27,商品D,212,600,0
2024-11-03,商品D,209,600,0
2024-11-10,商品D,214,600,0
2024-11-17,商品D,225,600,0
2024-11-24,商品D,208,600,0
2024-12-01,商品D,212,600,0
2024-12-08,商品D,178,600,0
2024-12-15,商品D,199,600,0
2024-12-22,商品D,202,600,1
2024-12-29,商品D,195,600,1
2024-01-07,商品E,74,2200,1
2024-01-14,商品E,79,2200,1
2024-01-21,商品E,74,2200,0
2024-01-28,商品E,61,2200,0
2024-02-04,商品E,72,2200,0
2024-02-11,商品E,71,2200,0
2024-02-18,商品E,74,2200,0
2024-02-25,商品E,85,2200,0
2024-03-03,商品E,85,2200,0
2024-03-10,商品E,92,2200,0
2024-03-17,商品E,86,2200,0
2024-03-24,商品E,85,2200,0
2024-03-31,商品E,91,2200,0
2024-04-07,商品E,97,2200,0
2024-04-14,商品E,100,2200,0
2024-04-21,商品E,95,2200,0
2024-04-28,商品E,120,2200,1
2024-05-05,商品E,124,2200,1
2024-05-12,商品E,141,2200,1
2024-05-19,商品E,125,2200,0
2024-05-26,商品E,110,2200,0
2024-06-02,商品E,116,2200,0
2024-06-09,商品E,110,2200,0
2024-06-16,商品E,118,2200,0
2024-06-23,商品E,125,2200,0
2024-06-30,商品E,133,2200,0
2024-07-07,商品E,122,2200,0
2024-07-14,商品E,123,2200,0
2024-07-21,商品E,114,2200,0
2024-07-28,商品E,128,2200,0
2024-08-04,商品E,122,2200,0
2024-08-11,商品E,141,2200,1
2024-08-18,商品E,139,2200,1
2024-08-25,商品E,144,2200,1
2024-09-01,商品E,118,2200,0
2024-09-08,商品E,120,2200,0
2024-09-15,商品E,142,2200,0
2024-09-22,商品E,120,2200,0
2024-09-29,商品E,120,2200,0
2024-10-06,商品E,139,2200,0
2024-10-13,商品E,145,2200,0
2024-10-20,商品E,118,2200,0
2024-10-27,商品E,123,2200,0
2024-11-03,商品E,127,2200,0
2024-11-10,商品E,135,2200,0
2024-11-17,商品E,118,2200,0
2024-11-24,商品E,122,2200,0
2024-12-01,商品E,129,2200,0
2024-12-08,商品E,127,2200,0
2024-12-15,商品E,122,2200,0
2024-12-22,商品E,140,2200,1
2024-12-29,商品E,133,2200,1
